u-g,g-r,r-i,i-z,class
1.3360009999999978,0.4895580000000006,0.10863499999999959,0.06855200000000039,star
0.4319999999999986,-0.10899999999999821,-0.1910000000000025,-0.07199999999999918,wd
0.38899999999999935,0.120000000000001,0.26500000000000057,-0.062000000000001165,qso
0.8753980000000006,0.2582899999999988,0.07767099999999871,0.035883000000001886,star
0.9071110000000004,0.2867660000000001,0.11201600000000056,0.023565999999998866,star
-0.397000000000002,-0.49299999999999855,-0.39000000000000057,-0.4989999999999988,wd
0.40000000000000213,-0.009000000000000341,-0.2740000000000009,0.05699999999999861,wd
1.4657319999999991,0.5466429999999995,0.21469499999999897,0.07575100000000035,star
2.5626929999999994,1.2010930000000002,0.5321979999999993,0.23561100000000046,star
1.0722099999999983,0.42279800000000023,0.12012,0.05034400000000261,star
0.4579999999999984,0.3290000000000006,0.43799999999999883,0.22299999999999898,qso
0.5560000000000009,0.11400000000000077,-0.14700000000000202,0.5150000000000006,qso
0.5129999999999981,0.14300000000000068,0.0070000000000014495,-0.027000000000001023,wd
1.1473769999999988,0.39341500000000096,0.1277609999999978,0.044814000000000576,star
0.352999999999998,-0.09099999999999753,-0.2270000000000003,-0.02500000000000213,wd
0.2749999999999986,0.27800000000000225,-0.020000000000003126,0.4180000000000028,qso
1.821047,0.7326370000000004,0.24375399999999914,0.14718799999999987,star
0.03200000000000003,0.2560000000000002,0.02400000000000091,-0.09100000000000108,qso
0.19900000000000162,-0.3260000000000005,-0.30600000000000094,-0.1750000000000007,wd
0.1390000000000029,0.14399999999999835,0.3240000000000016,-0.02500000000000213,qso
1.3809359999999984,0.5286599999999986,0.18039500000000075,0.10496200000000044,star
0.2859999999999978,-0.1479999999999997,-0.18299999999999983,-0.16699999999999804,wd
0.5629999999999988,-0.18100000000000094,-0.23799999999999955,-0.0329999999999977,wd
0.9100459999999977,0.2326119999999996,0.09268800000000255,-0.01763700000000057,star
0.504999999999999,0.10500000000000043,0.022999999999999687,0.12300000000000111,qso
0.45200000000000173,0.021000000000000796,0.007999999999999119,-0.30900000000000105,wd
0.559000000000001,-0.2140000000000022,-0.19199999999999662,-0.02500000000000213,wd
0.15499999999999758,0.19900000000000162,-0.013999999999999346,0.0779999999999994,qso
0.370000000000001,0.06500000000000128,-0.06899999999999906,-0.0730000000000004,wd
0.14000000000000057,-0.3810000000000002,-0.2900000000000027,-0.4089999999999989,wd
0.13700000000000045,0.006000000000000227,-0.18100000000000094,-0.15700000000000003,wd
-0.26399999999999935,-0.2940000000000005,0.2710000000000008,0.3249999999999993,wd
0.40000000000000213,0.010999999999999233,-0.04899999999999949,-0.14500000000000313,wd
0.33999999999999986,-0.08600000000000207,-0.23300000000000054,-0.24499999999999744,wd
-0.15600000000000236,-0.46799999999999997,-0.2839999999999989,-0.20599999999999952,wd
1.012483999999997,0.32477200000000295,0.14348599999999934,-0.0005020000000008906,star
-0.17599999999999838,-0.38700000000000045,-0.3190000000000026,-0.23699999999999832,wd
0.3329999999999984,-0.21999999999999886,-0.20899999999999963,-0.31400000000000006,wd
0.00999999999999801,0.017000000000003013,0.23899999999999721,0.08699999999999974,qso
0.26000000000000156,-0.3279999999999994,-0.2579999999999991,-0.16400000000000148,wd
1.514098999999998,0.6223920000000014,0.1919499999999985,0.1185779999999994,star
1.216000000000001,0.33500000000000085,0.22699999999999676,0.3370000000000033,qso
